ibes_ticker,cusip,oftic,cname,period_end,pdicity,measure,actual_eps,announce_date
ELF,83365840,ELF,SOCIETE NATIONAL,1991-03-31,QTR,EPS,,
ELF,83365840,ELF,SOCIETE NATIONAL,1991-06-30,QTR,EPS,1.88,1991-10-10
ELF,83365840,ELF,SOCIETE NATIONAL,1991-09-30,QTR,EPS,,1992-05-12
ELF,83365840,ELF,SOCIETE NATIONAL,1991-12-31,QTR,EPS,1.88,1992-05-12
ELF,83365840,ELF,SOCIETE NATIONAL,1992-03-31,QTR,EPS,,1993-02-11
ELF,83365840,ELF,SOCIETE NATIONAL,1992-06-30,QTR,EPS,1.22,1993-02-11
ELF,83365840,ELF,ELF AQUITAINE,1992-09-30,QTR,EPS,,1993-02-11
ELF,83365840,ELF,ELF AQUITAINE,1992-12-31,QTR,EPS,,1993-05-11
ELF,83365840,ELF,ELF AQUITAINE,1993-03-31,QTR,EPS,-0.04,1994-04-26
ELF,83365840,ELF,ELF AQUITAINE,1993-06-30,QTR,EPS,-0.03,1994-04-26
ELF,83365840,ELF,ELF AQUITAINE,1993-09-30,QTR,EPS,0.22,1994-04-26
ELF,83365840,ELF,ELF AQUITAINE,1993-12-31,QTR,EPS,0.23,1994-04-26
ELF,83365840,ELF,ELF AQUITAINE,1994-03-31,QTR,EPS,,1994-09-06
ELF,28626910,ELF,ELF AQUITAINE,1994-06-30,QTR,EPS,0.49,1994-09-06
ELF,28626910,ELF,ELF AQUITAINE,1994-09-30,QTR,EPS,,1995-01-17
ELF,28626910,ELF,ELF AQUITAINE,1994-12-31,QTR,EPS,0.74,1995-01-26
ELF,28626910,ELF,ELF AQUITAINE,1995-12-31,QTR,EPS,,1996-03-06
ELF,28626910,ELF,ELF AQUITAINE,1996-03-31,QTR,EPS,,1996-09-24
ELF,28626910,ELF,ELF AQUITAINE,1996-06-30,QTR,EPS,1.29,1996-09-24
ELF,28626910,ELF,ELF AQUITAINE,1996-09-30,QTR,EPS,,1997-03-19
ELF,28626910,ELF,ELF AQUITAINE,1996-12-31,QTR,EPS,1.45,1997-03-19
ELF,28626910,ELF,ELF AQUITAINE,1997-03-31,QTR,EPS,,1997-07-03
ELF,28626910,ELF,ELF AQUITAINE,1997-06-30,QTR,EPS,1.65,1998-04-28
ELF,28626910,ELF,ELF AQUITAINE,1997-09-30,QTR,EPS,,1998-04-28
ELF,28626910,ELF,ELF AQUITAINE,1997-12-31,QTR,EPS,1.8,1998-04-28
ELF,28626910,ELF,ELF AQUITAINE,1998-03-31,QTR,EPS,,1998-11-17
ELF,28626910,ELF,ELF AQUITAINE,1998-06-30,QTR,EPS,1.48,1998-11-17
ELF,28626910,ELF,ELF AQUITAINE,1998-09-30,QTR,EPS,,1998-11-17
ELF,28626910,ELF,ELF AQUITAINE,1998-12-31,QTR,EPS,1.19,1999-02-25
ELF,28626910,ELF,ELF AQUITAINE,1999-03-31,QTR,EPS,1.24,1999-08-27
ELF,28626910,ELF,ELF AQUITAINE,1999-06-30,QTR,EPS,1.24,1999-11-08
019I,26856L10,ELF,E.L.F. BEAUTY,2016-12-31,QTR,EPS,0.19,2017-03-08
019I,26856L10,ELF,E.L.F. BEAUTY,2017-03-31,QTR,EPS,0.09,2017-05-10
019I,26856L10,ELF,E.L.F. BEAUTY,2017-06-30,QTR,EPS,0.12,2017-08-09
019I,26856L10,ELF,E.L.F. BEAUTY,2017-09-30,QTR,EPS,0.17,2017-11-08
019I,26856L10,ELF,E.L.F. BEAUTY,2017-12-31,QTR,EPS,0.26,2018-02-27
019I,26856L10,ELF,E.L.F. BEAUTY,2018-03-31,QTR,EPS,0.11,2018-05-09
019I,26856L10,ELF,E.L.F. BEAUTY,2018-06-30,QTR,EPS,0.13,2018-08-08
019I,26856L10,ELF,E.L.F. BEAUTY,2018-09-30,QTR,EPS,0.17,2018-11-05
019I,26856L10,ELF,E.L.F. BEAUTY,2018-12-31,QTR,EPS,0.3,2019-02-26
019I,26856L10,ELF,E.L.F. BEAUTY,2019-03-31,QTR,EPS,0.06,2019-05-08
019I,26856L10,ELF,E.L.F. BEAUTY,2019-06-30,QTR,EPS,0.14,2019-08-07
019I,26856L10,ELF,E.L.F. BEAUTY,2019-09-30,QTR,EPS,0.15,2019-11-06
019I,26856L10,ELF,E.L.F. BEAUTY,2019-12-31,QTR,EPS,0.24,2020-02-05
019I,26856L10,ELF,E.L.F. BEAUTY,2020-03-31,QTR,EPS,0.1,2020-05-21
019I,26856L10,ELF,E.L.F. BEAUTY,2020-06-30,QTR,EPS,0.17,2020-08-05
019I,26856L10,ELF,E.L.F. BEAUTY,2020-09-30,QTR,EPS,0.16,2020-11-04
019I,26856L10,ELF,E.L.F. BEAUTY,2020-12-31,QTR,EPS,0.22,2021-02-03
019I,26856L10,ELF,E.L.F. BEAUTY,2021-03-31,QTR,EPS,0.16,2021-05-26
019I,26856L10,ELF,ELF BEAUTY,2021-06-30,QTR,EPS,0.27,2021-08-04
019I,26856L10,ELF,ELF BEAUTY,2021-09-30,QTR,EPS,0.21,2021-11-03
019I,26856L10,ELF,ELF BEAUTY,2021-12-31,QTR,EPS,0.24,2022-02-02
019I,26856L10,ELF,ELF BEAUTY,2022-03-31,QTR,EPS,0.13,2022-05-25
019I,26856L10,ELF,ELF BEAUTY,2022-06-30,QTR,EPS,0.39,2022-08-03
019I,26856L10,ELF,ELF BEAUTY,2022-09-30,QTR,EPS,0.36,2022-11-02
019I,26856L10,ELF,ELF BEAUTY,2022-12-31,QTR,EPS,0.48,2023-02-01
019I,26856L10,ELF,ELF BEAUTY,2023-03-31,QTR,EPS,0.42,2023-05-24
019I,26856L10,ELF,ELF BEAUTY,2023-06-30,QTR,EPS,1.1,2023-08-01
019I,26856L10,ELF,ELF BEAUTY,2023-09-30,QTR,EPS,0.82,2023-11-01
019I,26856L10,ELF,ELF BEAUTY,2023-12-31,QTR,EPS,0.74,2024-02-06
019I,26856L10,ELF,ELF BEAUTY,2024-03-31,QTR,EPS,0.53,2024-05-22
019I,26856L10,ELF,ELF BEAUTY,2024-06-30,QTR,EPS,1.1,2024-08-08
019I,26856L10,ELF,ELF BEAUTY,2024-09-30,QTR,EPS,0.77,2024-11-06
019I,26856L10,ELF,ELF BEAUTY,2024-12-31,QTR,EPS,0.74,2025-02-06
019I,26856L10,ELF,ELF BEAUTY,2025-03-31,QTR,EPS,0.78,2025-05-28
019I,26856L10,ELF,ELF BEAUTY,2025-06-30,QTR,EPS,0.89,2025-08-06
019I,26856L10,ELF,ELF BEAUTY,2025-09-30,QTR,EPS,0.68,2025-11-05
019I,26856L10,ELF,ELF BEAUTY,2025-12-31,QTR,EPS,1.24,2026-02-04
